date_sold,price,original_price,price_spread,square_footage,lot_size,number_bedrooms,number_bathrooms,year_built,property_type,street_number,street_name,city,state,zip_code,days_until_sold,is_short_sale,url
1594250400000,515000,551000,36000,1262,4559,3,1.5,1900,residential,89,Belle Ave,Medford,MA,02155,49,False,https://redfin.com/MA/Medford/89-Belle-Ave-02155/home/11778609
1599861720000,550000,540000,-10000,1432,7040,3,1.5,1965,residential,80,Woodruff Ave,Medford,MA,02155,401,False,https://redfin.com/MA/Medford/80-Woodruff-Ave-02155/home/11794621
1597425660000,629900,660000,30100,1676,5001,4,1.5,1991,residential,188,Gaston St,Medford,MA,02155,36,False,https://redfin.com/MA/Medford/188-Gaston-St-02155/home/11777368
1598052660000,539000,535000,-4000,1206,1,2,2.0,1988,condo,3920,Mystic Valley Pkwy,Medford,MA,02155,44,False,https://redfin.com/MA/Medford/3920-Mystic-Valley-Pkwy-02155/unit-504/home/11776710
1599768960000,589900,630000,40100,1630,4284,3,1.0,1925,residential,76,Saunders St,Medford,MA,02155,49,False,https://redfin.com/MA/Medford/76-Saunders-St-02155/home/11778440
1597342020000,675000,740000,65000,1800,7219,3,1.5,1900,residential,20,Park St Ct,Medford,MA,02155,58,False,https://redfin.com/MA/Medford/20-Park-St-Ct-02155/home/11791690
1598052060000,599750,595000,-4750,1646,4356,3,1.5,1880,residential,13,Vine St,Medford,MA,02155,64,False,https://redfin.com/MA/Medford/13-Vine-St-02155/home/11791664
1595270640000,599000,607000,8000,1717,4508,2,1.5,1900,residential,27,Murray Hill Rd,Medford,MA,02155,48,False,https://redfin.com/MA/Medford/27-Murray-Hill-Rd-02155/home/11784086
1595460240000,600000,660000,60000,1350,2718,2,2.0,1895,residential,106,Moreland St,Somerville,MA,02145,36,False,https://redfin.com/MA/Somerville/106-Moreland-St-02145/home/8713208
1593227940000,529900,610000,80100,1309,6310,3,1.5,1900,residential,39,Grant Ave,Medford,MA,02155,53,False,https://redfin.com/MA/Medford/39-Grant-Ave-02155/home/11791742
1594319460000,720000,795000,75000,1400,6877,3,1.5,1920,residential,9,Hatch Rd,Medford,MA,02155,57,False,https://redfin.com/MA/Medford/9-Hatch-Rd-02155/home/11786690
1593631080000,549000,575000,26000,2274,6734,3,1.5,1925,residential,841,,Medford,MA,02155,57,False,https://redfin.com/MA/Medford/841-Fellsway-W-02155/home/11777646
1596213120000,599000,625000,26000,1229,1,2,2.0,1988,condo,3920,Mystic Valley Pkwy,Medford,MA,02155,52,False,https://redfin.com/MA/Medford/3920-Mystic-Valley-Pkwy-02155/unit-1112/home/11776848
1600464360000,995000,965000,-30000,1239,,2,2.0,2007,condo,100,Station Lndg,Medford,MA,02155,115,False,https://redfin.com/MA/Medford/100-Station-Lndg-02155/unit-1011/home/18906668
1593822240000,549900,542500,-7400,1258,,3,2.0,1988,condo,500,Salem St,Medford,MA,02155,54,False,https://redfin.com/MA/Medford/500-Salem-St-02155/unit-804/home/11784291
1594394160000,729000,763000,34000,1433,6650,3,1.0,1880,residential,26,Webster St,Medford,MA,02155,34,False,https://redfin.com/MA/Medford/26-Webster-St-02155/home/11787481
1599165600000,544000,565000,21000,1458,4749,3,2.0,1955,residential,15,Foss St,Medford,MA,02155,56,False,https://redfin.com/MA/Medford/15-Foss-St-02155/home/11779068
1598580780000,539900,587000,47100,1408,5600,3,1.0,1920,residential,16,ELM St,Medford,MA,02155,44,False,https://redfin.com/MA/Medford/16-Elm-St-02155/home/11777751
1598035260000,609900,620000,10100,1488,5000,3,1.5,1949,residential,67,Roberts Rd,Medford,MA,02155,50,False,https://redfin.com/MA/Medford/67-Roberts-Rd-02155/home/11781370
1599621660000,659000,715000,56000,1809,7080,2,1.5,1940,residential,438,,Medford,MA,02155,41,False,https://redfin.com/MA/Medford/438-Winthrop-St-02155/home/11783194
1593812520000,729000,760000,31000,1668,5500,3,1.5,1925,residential,12,Roberts Rd,Medford,MA,02155,36,False,https://redfin.com/MA/Medford/12-Roberts-Rd-02155/home/11782809
1599844980000,749000,740000,-9000,1825,6500,3,1.5,1900,condo,34,Quincy St,Medford,MA,02155,65,False,https://redfin.com/MA/Medford/34-Quincy-St-02155/unit-1/home/136838109
1593622680000,739900,770000,30100,1800,6025,3,2.5,1930,residential,32,Dover St,Medford,MA,02155,47,False,https://redfin.com/MA/Medford/32-Dover-St-02155/home/11784917
1599672420000,589900,589900,0,1454,4300,3,2.0,1910,residential,5,Elsmere Ter,Medford,MA,02155,61,False,https://redfin.com/MA/Medford/5-Elsmere-Ter-02155/home/11799273
1595023740000,700000,721000,21000,1900,6300,3,1.0,1920,residential,518,Winthrop St,Medford,MA,02155,42,False,https://redfin.com/MA/Medford/518-Winthrop-St-02155/home/11781560
1596830640000,599900,599900,0,1260,5000,3,1.5,1953,residential,113,Roberts Rd,Medford,MA,02155,44,False,https://redfin.com/MA/Medford/113-Roberts-Rd-02155/home/11782714
1595630640000,539900,550000,10100,1206,1,2,2.0,1988,condo,3920,Mystic Valley Pkwy,Medford,MA,02155,57,False,https://redfin.com/MA/Medford/3920-Mystic-Valley-Pkwy-02155/unit-320/home/11776479
1596815400000,775000,755000,-20000,1365,,2,1.5,1983,condo,83,Church St,Winchester,MA,01890,63,False,https://redfin.com/MA/Winchester/83-Church-St-01890/unit-15/home/11467444
1593571800000,979000,999000,20000,1837,6512,3,2.5,1930,residential,15,Bonad Rd,Winchester,MA,01890,46,False,https://redfin.com/MA/Winchester/15-Bonad-Rd-01890/home/11440661
1598990580000,724900,712500,-12400,1779,17498,3,2.0,1964,residential,388,Cambridge St,Winchester,MA,01890,102,False,https://redfin.com/MA/Winchester/388-Cambridge-St-01890/home/11464119
1599189120000,459900,470000,10100,1452,7540,,,,condo,299,,Winchester,MA,01890,41,False,https://redfin.com/MA/Winchester/299-Cross-St-01890/unit-299/home/172576262
1598982780000,699000,723000,24000,1330,,,,,condo,149,Washington St,Winchester,MA,01890,47,False,https://redfin.com/MA/Winchester/149-Washington-St-01890/unit-149/home/145659099
1593210900000,875000,865000,-10000,1678,3480,3,1.5,1903,residential,3,Wildwood Ter,Winchester,MA,01890,97,False,https://redfin.com/MA/Winchester/3-Wildwood-Ter-01890/home/11455979
1594448520000,1050000,1113000,63000,2700,17942,3,2.5,2008,residential,56,Dunster Ln,Winchester,MA,01890,45,False,https://redfin.com/MA/Winchester/56-Dunster-Ln-01890/home/11463041
2020-06-25,675000,,,1530,,2,1.5,1986,condo,22,Grove Pl,Winchester,MA,01890,,,https://redfin.com/MA/Winchester/22-Grove-Pl-01890/unit-6/home/11447820
1595462460000,859000,954000,95000,2643,12702,3,2.0,1946,residential,14,New Meadows Rd,Winchester,MA,01890,44,False,https://redfin.com/MA/Winchester/14-New-Meadows-Rd-01890/home/11461217
1595008140000,620000,590000,-30000,1708,5502,3,2.5,1920,residential,74,Sylvester Ave,Winchester,MA,01890,57,False,https://redfin.com/MA/Winchester/74-Sylvester-Ave-01890/home/11454788
1595080980000,745000,771000,26000,1271,5090,3,1.5,1900,residential,5,Cutting St,Winchester,MA,01890,46,False,https://redfin.com/MA/Winchester/5-Cutting-St-01890/home/11448490
1596478440000,799900,770000,-29900,1505,11112,3,2.0,1930,residential,437,Highland Ave,Winchester,MA,01890,84,False,https://redfin.com/MA/Winchester/437-Highland-Ave-01890/home/11466904
2020-08-31,723000,,,1177,,2,1.0,1910,condo,149,Washington St,Winchester,MA,01890,,,https://redfin.com/MA/Winchester/149-Washington-St-01890/unit-000149/home/11468137
1597261200000,849900,905000,55100,2009,7475,3,1.5,1950,residential,43,Nathaniel Rd,Winchester,MA,01890,61,False,https://redfin.com/MA/Winchester/43-Nathaniel-Rd-01890/home/11451682
1600714020000,739900,690000,-49900,2049,11570,3,1.0,1910,residential,119,Forest St,Winchester,MA,01890,102,False,https://redfin.com/MA/Winchester/119-Forest-St-01890/home/11441060
1598661240000,539000,585000,46000,1831,13499,,,,condo,5,Ridge St,Winchester,MA,01890,42,False,https://redfin.com/MA/Winchester/5-Ridge-St-01890/unit-5/home/172511841
1599064680000,510000,530000,20000,1349,13499,,,,condo,3,Ridge St,Winchester,MA,01890,47,False,https://redfin.com/MA/Winchester/3-Ridge-ST-01890/unit-3/home/172511804
1597690980000,799000,850000,51000,1450,6630,3,1.5,1942,residential,18,Bonad Rd,Winchester,MA,01890,52,False,https://redfin.com/MA/Winchester/18-Bonad-Rd-01890/home/11440755
1599166140000,859000,835000,-24000,1970,14471,3,1.5,1956,residential,4,Hinds Rd,Winchester,MA,01890,77,False,https://redfin.com/MA/Winchester/4-Hinds-Rd-01890/home/11439821
1599008340000,939000,920000,-19000,2113,16209,3,1.5,1956,residential,237,High St,Winchester,MA,01890,104,False,https://redfin.com/MA/Winchester/237-High-St-01890/home/11465299
1599153900000,610000,600000,-10000,1412,18480,3,1.5,1963,residential,394,Cambridge St,Winchester,MA,01890,297,False,https://redfin.com/MA/Winchester/394-Cambridge-St-01890/home/11464124
1596487620000,499900,535000,35100,1344,29517,3,2.5,1960,residential,42,Mill St,Burlington,MA,01803,61,False,https://redfin.com/MA/Burlington/42-Mill-St-01803/home/8453786
1598323740000,510000,530000,20000,1440,24829,3,1.5,1960,residential,80,Wilmington Rd,Burlington,MA,01803,39,False,https://redfin.com/MA/Burlington/80-Wilmington-Rd-01803/home/11376646
1596164280000,699900,685000,-14900,2052,20130,3,1.5,1968,residential,39,Chandler Rd,Burlington,MA,01803,62,False,https://redfin.com/MA/Burlington/39-Chandler-Rd-01803/home/8448714
